method,iteration,beta,accuracy,imitation_error,dataset_size,seed,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.735705950991832,0.264294049008168,47010,0,0,0,47010,0,0,47010,9,22.940146499999997,0.0,0.06002420000000086,30.68841180000001
structured_bc,1,1.0,0.7592376507195644,0.2407623492804356,47010,0,0,0,47010,0,0,47010,9,19.041206099999997,0.0,3.3936893999999995,53.1264934
dagger,2,0.5,0.7779074290159471,0.22209257098405288,94020,0,47010,47010,47010,47010,47010,94020,9,23.523514399999982,16.189152200000024,1.8317944000000068,94.6724622
dagger,3,0.25,0.7827693504472968,0.21723064955270321,141030,0,47010,94020,47010,47010,94020,141030,9,29.469014700000002,18.369163999999984,2.567054600000006,145.08210830000002
dagger,4,0.125,0.7878257487359004,0.2121742512640996,188040,0,47010,141030,47010,47010,141030,188040,9,38.2977784,21.709810599999997,1.7097974000000136,206.8009584
dagger,5,0.0625,0.7893815635939323,0.2106184364060677,235050,0,47010,188040,47010,47010,188040,235050,9,40.78945500000003,16.353854599999977,1.7678013999999962,265.7133026
dagger,6,0.03125,0.7919097627382341,0.2080902372617659,282060,0,47010,235050,47010,47010,235050,282060,9,46.660197600000004,18.829281400000013,1.8597275000000195,333.0638258
dagger,7,0.015625,0.7954103461688059,0.2045896538311941,329070,0,47010,282060,47010,47010,282060,329070,9,51.8003119,17.099713199999997,1.8293774999999641,403.7958693
dagger,8,0.0078125,0.7905484247374562,0.20945157526254377,376080,0,47010,329070,47010,47010,329070,376080,9,60.79166700000002,16.466617199999973,1.871238299999959,482.9275121
dagger,9,0.00390625,0.795215869311552,0.20478413068844803,423090,0,47010,376080,47010,47010,376080,423090,9,67.44952189999992,16.855169600000067,2.0960383999999976,569.3296399
dagger,10,0.001953125,0.79463243873979,0.20536756126021005,470100,0,47010,423090,47010,47010,423090,470100,9,75.7009544,18.3593707,1.8694854000000305,665.260592
dagger,11,0.0009765625,0.7963827304550758,0.2036172695449242,517110,0,47010,470100,47010,47010,470100,517110,9,81.06169360000001,16.685628800000018,1.8592749000000595,764.8684111
