method,iteration,beta,accuracy,imitation_error,dataset_size,seed,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.735705950991832,0.264294049008168,47010,0,0,0,47010,0,0,47010,9,10.07474840000009,0.0,0.040604600000051505,13.469466000000011
structured_bc,1,1.0,0.7592376507195644,0.2407623492804356,47010,0,0,0,47010,0,0,47010,9,9.20317810000006,0.0,1.0218490999998266,23.69532819999995
dagger,2,0.0,0.7825748735900427,0.21742512640995726,94020,0,47010,47010,47010,47010,47010,94020,9,20.775102199999992,9.613956300000154,1.799292899999955,55.88421149999999
dagger,3,0.0,0.7919097627382341,0.2080902372617659,141030,0,47010,94020,47010,47010,94020,141030,9,30.303664900000058,21.61650409999993,1.5365836000000854,109.34420100000011
dagger,4,0.0,0.793465577596266,0.20653442240373399,188040,0,47010,141030,47010,47010,141030,188040,9,22.773877900000116,9.689865499999996,0.9887164000001576,142.79710839999984
dagger,5,0.0,0.7911318553092183,0.20886814469078174,235050,0,47010,188040,47010,47010,188040,235050,9,46.48550010000008,17.40493080000033,1.0489235999998527,207.73697640000023
dagger,6,0.0,0.7909373784519642,0.2090626215480358,282060,0,47010,235050,47010,47010,235050,282060,9,46.464041299999735,17.61551499999996,1.7357200999999804,273.55291250000005
dagger,7,0.0,0.794243485025282,0.20575651497471803,329070,0,47010,282060,47010,47010,282060,329070,9,52.02184469999975,16.658006099999966,1.7350345999998353,343.9685000000002
dagger,8,0.0,0.794049008168028,0.20595099183197196,376080,0,47010,329070,47010,47010,329070,376080,9,58.01179830000001,16.879766800000198,1.7363495999998122,420.5972898000002
dagger,9,0.0,0.795215869311552,0.20478413068844803,423090,0,47010,376080,47010,47010,376080,423090,9,65.38747079999985,16.629785500000253,1.740513799999917,504.3558779000002
dagger,10,0.0,0.7921042395954881,0.20789576040451185,470100,0,47010,423090,47010,47010,423090,470100,9,74.47939499999984,17.41617869999982,1.8148071000000527,598.0670553000002
dagger,11,0.0,0.7954103461688059,0.2045896538311941,517110,0,47010,470100,47010,47010,470100,517110,9,70.10105449999992,17.102676999999858,2.1047178999997413,687.3784023999999
