iteration,aggregation_round,method,seed,test_fold,position,correct,count,accuracy
1,0,structured_bc,0,9,1,542,675,0.802962962962963
1,0,structured_bc,0,9,2,521,675,0.7718518518518519
1,0,structured_bc,0,9,3,501,675,0.7422222222222222
1,0,structured_bc,0,9,4,416,548,0.7591240875912408
1,0,structured_bc,0,9,5,424,548,0.7737226277372263
1,0,structured_bc,0,9,6,376,501,0.7504990019960079
1,0,structured_bc,0,9,7,325,435,0.7471264367816092
1,0,structured_bc,0,9,8,264,361,0.7313019390581718
1,0,structured_bc,0,9,9,220,287,0.7665505226480837
1,0,structured_bc,0,9,10,133,173,0.7687861271676301
1,0,structured_bc,0,9,11,83,112,0.7410714285714286
1,0,structured_bc,0,9,12,52,78,0.6666666666666666
1,0,structured_bc,0,9,13,33,52,0.6346153846153846
1,0,structured_bc,0,9,14,14,22,0.6363636363636364
2,1,dagger,0,9,1,535,675,0.7925925925925926
2,1,dagger,0,9,2,536,675,0.794074074074074
2,1,dagger,0,9,3,507,675,0.7511111111111111
2,1,dagger,0,9,4,436,548,0.7956204379562044
2,1,dagger,0,9,5,435,548,0.7937956204379562
2,1,dagger,0,9,6,395,501,0.7884231536926147
2,1,dagger,0,9,7,345,435,0.7931034482758621
2,1,dagger,0,9,8,280,361,0.775623268698061
2,1,dagger,0,9,9,229,287,0.7979094076655052
2,1,dagger,0,9,10,135,173,0.7803468208092486
2,1,dagger,0,9,11,86,112,0.7678571428571429
2,1,dagger,0,9,12,52,78,0.6666666666666666
2,1,dagger,0,9,13,35,52,0.6730769230769231
2,1,dagger,0,9,14,18,22,0.8181818181818182
3,2,dagger,0,9,1,537,675,0.7955555555555556
3,2,dagger,0,9,2,537,675,0.7955555555555556
3,2,dagger,0,9,3,515,675,0.762962962962963
3,2,dagger,0,9,4,440,548,0.8029197080291971
3,2,dagger,0,9,5,441,548,0.8047445255474452
3,2,dagger,0,9,6,405,501,0.8083832335329342
3,2,dagger,0,9,7,354,435,0.8137931034482758
3,2,dagger,0,9,8,286,361,0.7922437673130194
3,2,dagger,0,9,9,230,287,0.8013937282229965
3,2,dagger,0,9,10,135,173,0.7803468208092486
3,2,dagger,0,9,11,85,112,0.7589285714285714
3,2,dagger,0,9,12,54,78,0.6923076923076923
3,2,dagger,0,9,13,34,52,0.6538461538461539
3,2,dagger,0,9,14,19,22,0.8636363636363636
4,3,dagger,0,9,1,539,675,0.7985185185185185
4,3,dagger,0,9,2,543,675,0.8044444444444444
4,3,dagger,0,9,3,512,675,0.7585185185185185
4,3,dagger,0,9,4,440,548,0.8029197080291971
4,3,dagger,0,9,5,442,548,0.8065693430656934
4,3,dagger,0,9,6,403,501,0.8043912175648703
4,3,dagger,0,9,7,354,435,0.8137931034482758
4,3,dagger,0,9,8,290,361,0.8033240997229917
4,3,dagger,0,9,9,230,287,0.8013937282229965
4,3,dagger,0,9,10,136,173,0.7861271676300579
4,3,dagger,0,9,11,85,112,0.7589285714285714
4,3,dagger,0,9,12,51,78,0.6538461538461539
4,3,dagger,0,9,13,35,52,0.6730769230769231
4,3,dagger,0,9,14,20,22,0.9090909090909091
5,4,dagger,0,9,1,536,675,0.794074074074074
5,4,dagger,0,9,2,541,675,0.8014814814814815
5,4,dagger,0,9,3,515,675,0.762962962962963
5,4,dagger,0,9,4,440,548,0.8029197080291971
5,4,dagger,0,9,5,442,548,0.8065693430656934
5,4,dagger,0,9,6,400,501,0.7984031936127745
5,4,dagger,0,9,7,354,435,0.8137931034482758
5,4,dagger,0,9,8,287,361,0.7950138504155124
5,4,dagger,0,9,9,229,287,0.7979094076655052
5,4,dagger,0,9,10,135,173,0.7803468208092486
5,4,dagger,0,9,11,84,112,0.75
5,4,dagger,0,9,12,52,78,0.6666666666666666
5,4,dagger,0,9,13,34,52,0.6538461538461539
5,4,dagger,0,9,14,19,22,0.8636363636363636
6,5,dagger,0,9,1,540,675,0.8
6,5,dagger,0,9,2,538,675,0.797037037037037
6,5,dagger,0,9,3,508,675,0.7525925925925926
6,5,dagger,0,9,4,441,548,0.8047445255474452
6,5,dagger,0,9,5,443,548,0.8083941605839416
6,5,dagger,0,9,6,405,501,0.8083832335329342
6,5,dagger,0,9,7,351,435,0.8068965517241379
6,5,dagger,0,9,8,287,361,0.7950138504155124
6,5,dagger,0,9,9,227,287,0.7909407665505227
6,5,dagger,0,9,10,134,173,0.7745664739884393
6,5,dagger,0,9,11,84,112,0.75
6,5,dagger,0,9,12,53,78,0.6794871794871795
6,5,dagger,0,9,13,36,52,0.6923076923076923
6,5,dagger,0,9,14,20,22,0.9090909090909091
7,6,dagger,0,9,1,545,675,0.8074074074074075
7,6,dagger,0,9,2,545,675,0.8074074074074075
7,6,dagger,0,9,3,515,675,0.762962962962963
7,6,dagger,0,9,4,440,548,0.8029197080291971
7,6,dagger,0,9,5,442,548,0.8065693430656934
7,6,dagger,0,9,6,399,501,0.7964071856287425
7,6,dagger,0,9,7,352,435,0.8091954022988506
7,6,dagger,0,9,8,287,361,0.7950138504155124
7,6,dagger,0,9,9,232,287,0.8083623693379791
7,6,dagger,0,9,10,135,173,0.7803468208092486
7,6,dagger,0,9,11,83,112,0.7410714285714286
7,6,dagger,0,9,12,54,78,0.6923076923076923
7,6,dagger,0,9,13,36,52,0.6923076923076923
7,6,dagger,0,9,14,19,22,0.8636363636363636
8,7,dagger,0,9,1,545,675,0.8074074074074075
8,7,dagger,0,9,2,541,675,0.8014814814814815
8,7,dagger,0,9,3,514,675,0.7614814814814815
8,7,dagger,0,9,4,441,548,0.8047445255474452
8,7,dagger,0,9,5,446,548,0.8138686131386861
8,7,dagger,0,9,6,400,501,0.7984031936127745
8,7,dagger,0,9,7,353,435,0.8114942528735632
8,7,dagger,0,9,8,286,361,0.7922437673130194
8,7,dagger,0,9,9,229,287,0.7979094076655052
8,7,dagger,0,9,10,134,173,0.7745664739884393
8,7,dagger,0,9,11,84,112,0.75
8,7,dagger,0,9,12,54,78,0.6923076923076923
8,7,dagger,0,9,13,36,52,0.6923076923076923
8,7,dagger,0,9,14,20,22,0.9090909090909091
9,8,dagger,0,9,1,548,675,0.8118518518518518
9,8,dagger,0,9,2,544,675,0.8059259259259259
9,8,dagger,0,9,3,517,675,0.7659259259259259
