method,iteration,beta,accuracy,imitation_error,dataset_size,seed,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.735705950991832,0.264294049008168,47010,0,0,0,47010,0,0,47010,9,15.601510699998471,0.0,0.06007550000140327,18.97865610000008
structured_bc,1,1.0,0.7592376507195644,0.2407623492804356,47010,0,0,0,47010,0,0,47010,9,13.2523220999974,0.0,1.7609897000002093,33.993328100001236
dagger,2,0.0,0.7825748735900427,0.21742512640995726,94020,0,47010,47010,47010,47010,47010,94020,9,19.574797899997066,16.807267799998954,1.788672900001984,72.16495230000146
dagger,3,0.0,0.7919097627382341,0.2080902372617659,141030,0,47010,94020,47010,47010,94020,141030,9,29.299713299998984,17.085995100002037,1.7919819000017014,120.34668960000272
dagger,4,0.0,0.793465577596266,0.20653442240373399,188040,0,47010,141030,47010,47010,141030,188040,9,39.81750059999831,16.67750739999974,1.84864540000126,178.69137440000122
dagger,5,0.0,0.7911318553092183,0.20886814469078174,235050,0,47010,188040,47010,47010,188040,235050,9,42.97635500000251,16.653429799996957,1.7130758999992395,240.03507660000105
dagger,6,0.0,0.7909373784519642,0.2090626215480358,282060,0,47010,235050,47010,47010,235050,282060,9,45.48452030000044,17.042478800001845,1.7524588000014774,304.32053369999994
dagger,7,0.0,0.794243485025282,0.20575651497471803,329070,0,47010,282060,47010,47010,282060,329070,9,50.96285849999913,16.604303600001003,1.7175650999997742,373.60622839999996
dagger,8,0.0,0.794049008168028,0.20595099183197196,376080,0,47010,329070,47010,47010,329070,376080,9,58.09217140000328,16.881662499999948,1.7418523999986064,450.32286380000005
dagger,9,0.0,0.795215869311552,0.20478413068844803,423090,0,47010,376080,47010,47010,376080,423090,9,66.01515089999884,16.81716199999937,1.745831200001703,534.9020832000024
dagger,10,0.0,0.7921042395954881,0.20789576040451185,470100,0,47010,423090,47010,47010,423090,470100,9,72.42846470000222,16.945525800001633,1.7375111000001198,626.0146126
dagger,11,0.0,0.7954103461688059,0.2045896538311941,517110,0,47010,470100,47010,47010,470100,517110,9,77.48415340000065,16.79700330000196,1.7276014999988547,722.0244730000013
