method,iteration,beta,accuracy,imitation_error,dataset_size,seed,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.735705950991832,0.264294049008168,47010,0,0,0,47010,0,0,47010,9,15.423170800000662,0.0,0.06327000000237604,22.503937700003007
structured_bc,1,1.0,0.7592376507195644,0.2407623492804356,47010,0,0,0,47010,0,0,47010,9,13.098134799998661,0.0,1.8639933000013116,37.46752980000019
dagger,2,0.0,0.7825748735900427,0.21742512640995726,94020,0,47010,47010,47010,47010,47010,94020,9,22.588522599999123,19.65191500000219,1.8821984999995038,81.59123960000215
dagger,3,0.0,0.7837417347335667,0.21625826526643332,94020,0,47010,94020,47010,47010,94020,141030,9,20.51701470000262,18.016708899998775,1.8836835000001884,122.009699000002
dagger,4,0.0,0.7821859198755348,0.21781408012446524,94020,0,47010,141030,47010,47010,141030,188040,9,20.87805870000011,18.678968300002452,2.255016800001613,163.82265310000003
dagger,5,0.0,0.7827693504472968,0.21723064955270321,94020,0,47010,188040,47010,47010,188040,235050,9,21.091440500000317,18.11305210000137,1.8229857000005723,204.85129360000064
dagger,6,0.0,0.7833527810190587,0.2166472189809413,94020,0,47010,235050,47010,47010,235050,282060,9,21.405116500001895,17.35368229999949,1.896862500001589,245.5078889000033
dagger,7,0.0,0.7837417347335667,0.21625826526643332,94020,0,47010,282060,47010,47010,282060,329070,9,21.218137100000604,18.547866600001726,1.821442799999204,287.09641060000286
dagger,8,0.0,0.7825748735900427,0.21742512640995726,94020,0,47010,329070,47010,47010,329070,376080,9,20.95699539999987,19.142082599999412,1.0502660000020114,328.24695690000226
dagger,9,0.0,0.7862699338778686,0.2137300661221314,94020,0,47010,376080,47010,47010,376080,423090,9,13.103210000001127,9.824343299998873,0.9947011999975075,352.16980930000136
dagger,10,0.0,0.7854920264488526,0.21450797355114737,94020,0,47010,423090,47010,47010,423090,470100,9,13.50692319999871,9.906725700002426,1.0192122000007657,376.6038174000023
dagger,11,0.0,0.7829638273045507,0.21703617269544928,94020,0,47010,470100,47010,47010,470100,517110,9,13.88145219999933,9.687773699999525,1.0013501000030374,401.1753323000012
