method,iteration,beta,accuracy,imitation_error,dataset_size,seed,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.735705950991832,0.264294049008168,47010,0,0,0,47010,0,0,47010,9,14.224012700000458,0.0,0.08403850000104285,20.339662899998075
structured_bc,1,1.0,0.7592376507195644,0.2407623492804356,47010,0,0,0,47010,0,0,47010,9,12.425703100001556,0.0,1.8142987999999605,34.581119799997396
dagger,2,0.0,0.7825748735900427,0.21742512640995726,94020,0,47010,47010,47010,47010,47010,94020,9,19.17417690000002,16.890635400002793,1.7504287000010663,72.39733869999691
dagger,3,0.0,0.7919097627382341,0.2080902372617659,141030,0,47010,94020,47010,47010,94020,141030,9,26.123397999999725,17.35303279999789,1.7764517000032356,117.65356919999977
dagger,4,0.0,0.793465577596266,0.20653442240373399,188040,0,47010,141030,47010,47010,141030,188040,9,32.76540399999794,16.885230600000796,1.3900299000015366,168.69532409999738
dagger,5,0.0,0.7911318553092183,0.20886814469078174,188040,0,47010,188040,47010,47010,188040,235050,9,22.445147300000826,9.978242799999862,0.9755927000005613,202.0953942999986
dagger,6,0.0,0.7915208090237261,0.20847919097627388,188040,0,47010,235050,47010,47010,235050,282060,9,23.389363299997058,9.328413100000034,1.0220083999993221,235.83595760000026
dagger,7,0.0,0.7909373784519642,0.2090626215480358,188040,0,47010,282060,47010,47010,282060,329070,9,22.635524199999054,9.903999800000747,0.979443899999751,269.35570149999694
dagger,8,0.0,0.7909373784519642,0.2090626215480358,188040,0,47010,329070,47010,47010,329070,376080,9,35.558505400000286,14.603065499999502,1.7637952000004589,321.2821182999978
dagger,9,0.0,0.7903539478802023,0.2096460521197977,188040,0,47010,376080,47010,47010,376080,423090,9,35.726442600000155,18.767298599999776,2.006494000001112,377.7881882999973
dagger,10,0.0,0.7887981330221704,0.2112018669778296,188040,0,47010,423090,47010,47010,423090,470100,9,35.88573650000035,17.233299600000464,2.041118599998299,432.9500014999976
dagger,11,0.0,0.7889926098794243,0.21100739012057568,188040,0,47010,470100,47010,47010,470100,517110,9,39.13512670000273,19.431336900001043,2.9546575999993365,494.4720746999992
