method,iteration,beta,accuracy,imitation_error,dataset_size,seed,query_strategy,query_budget,remaining_queries,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.7323998444185142,0.26760015558148575,47010,1,standard,,,0,0,47010,0,0,47010,9,8.959371700000702,0.0,0.03313239999988582,12.491012199998295
structured_bc,1,1.0,0.7627382341501361,0.23726176584986391,47010,1,standard,,,0,0,47010,0,0,47010,9,7.6451754000008805,0.0,0.9998042000006535,21.13693239999884
dagger,2,0.0,0.7839362115908207,0.21606378840917928,94020,1,standard,,,47010,47010,47010,47010,47010,94020,9,19.498729699998876,11.197423600000548,1.8430081000005885,53.676885899998524
dagger,3,0.0,0.7868533644496305,0.2131466355503695,141030,1,standard,,,47010,94020,47010,47010,94020,141030,9,25.78472470000088,17.114547400000447,1.7821294000004855,98.35965229999965
dagger,4,0.0,0.7895760404511863,0.21042395954881365,188040,1,standard,,,47010,141030,47010,47010,141030,188040,9,33.149927799999205,17.11166840000078,1.7856557999984943,150.40786849999859
dagger,5,0.0,0.7905484247374562,0.20945157526254377,235050,1,standard,,,47010,188040,47010,47010,188040,235050,9,41.43845190000138,16.910445000001346,1.7847235999997793,210.54265619999933
dagger,6,0.0,0.7917152858809802,0.20828471411901983,282060,1,standard,,,47010,235050,47010,47010,235050,282060,9,46.45729449999999,17.477754699999423,1.8429665000003297,276.32172909999827
dagger,7,0.0,0.793076623881758,0.20692337611824196,329070,1,standard,,,47010,282060,47010,47010,282060,329070,9,51.2902653000001,17.342338700000255,1.8457680999999866,346.8011728999991
dagger,8,0.0,0.793076623881758,0.20692337611824196,376080,1,standard,,,47010,329070,47010,47010,329070,376080,9,57.87342609999905,17.53399239999999,1.7709630000008474,423.9808439999997
dagger,9,0.0,0.7954103461688059,0.2045896538311941,423090,1,standard,,,47010,376080,47010,47010,376080,423090,9,67.17979770000056,17.097999499999787,1.7531363999987661,510.0128085999986
dagger,10,0.0,0.7950213924542979,0.20497860754570207,470100,1,standard,,,47010,423090,47010,47010,423090,470100,9,63.68723520000094,17.285649900000863,1.010451699999976,591.9971542999992
dagger,11,0.0,0.79463243873979,0.20536756126021005,517110,1,standard,,,47010,470100,47010,47010,470100,517110,9,66.35026019999896,10.458696200001214,1.8053801999994903,670.6124856999995
