method,iteration,beta,accuracy,imitation_error,dataset_size,seed,query_strategy,query_budget,remaining_queries,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.735705950991832,0.264294049008168,47010,0,periodic,10000,10000,0,0,47010,0,0,47010,9,14.61015640000005,0.0,0.05111949999991339,20.61254199999985
structured_bc,1,1.0,0.7592376507195644,0.2407623492804356,47010,0,periodic,10000,10000,0,0,47010,0,0,47010,9,13.096742000000177,0.0,1.7706140000000232,35.4811394999997
dagger,2,0.0,0.764488525865422,0.23551147413457796,51711,0,periodic,10000,5299,47010,47010,47010,4701,4701,51711,9,14.587384500000098,19.817079000000376,1.8856504000000314,71.77226560000008
dagger,3,0.0,0.7689614935822637,0.23103850641773627,56412,0,periodic,10000,598,47010,94020,47010,4701,9402,56412,9,15.322286799999802,17.112955000000056,1.860973400000148,106.06968710000001
dagger,4,0.0,0.7740178918708673,0.22598210812913266,57010,0,periodic,10000,0,47010,141030,47010,598,10000,57010,9,14.00773590000017,17.666044899999633,1.776209199999812,139.52062879999994
dagger,5,0.0,0.7740178918708673,0.22598210812913266,57010,0,periodic,10000,0,47010,188040,47010,0,10000,57010,9,2.100000074278796e-06,17.696316099999876,2.266248999999789,159.48426299999983
dagger,6,0.0,0.7740178918708673,0.22598210812913266,57010,0,periodic,10000,0,47010,235050,47010,0,10000,57010,9,2.4000000848900527e-06,19.797166500000003,2.457291499999883,181.7399691999999
dagger,7,0.0,0.7740178918708673,0.22598210812913266,57010,0,periodic,10000,0,47010,282060,47010,0,10000,57010,9,1.7000002117129043e-06,17.28716949999989,1.9571697999999742,200.98521559999972
dagger,8,0.0,0.7740178918708673,0.22598210812913266,57010,0,periodic,10000,0,47010,329070,47010,0,10000,57010,9,1.2999998943996616e-06,16.645659199999955,1.996695499999987,219.62890909999987
dagger,9,0.0,0.7740178918708673,0.22598210812913266,57010,0,periodic,10000,0,47010,376080,47010,0,10000,57010,9,2.3000002329354174e-06,18.426769899999726,2.058271500000046,240.1147364999997
dagger,10,0.0,0.7740178918708673,0.22598210812913266,57010,0,periodic,10000,0,47010,423090,47010,0,10000,57010,9,1.600000359758269e-06,18.980923900000107,1.9794175000001815,261.07606069999974
dagger,11,0.0,0.7740178918708673,0.22598210812913266,57010,0,periodic,10000,0,47010,470100,47010,0,10000,57010,9,1.5999999050109182e-06,13.309110899999723,1.005325399999947,275.39144799999985
dagger,12,0.0,0.7740178918708673,0.22598210812913266,57010,0,periodic,10000,0,47010,517110,47010,0,10000,57010,9,1.8000000636675395e-06,9.28904139999986,1.0129824000000553,285.6941247999998
dagger,13,0.0,0.7740178918708673,0.22598210812913266,57010,0,periodic,10000,0,47010,564120,47010,0,10000,57010,9,1.500000053056283e-06,9.476681800000279,0.9765420999997332,296.14794859999984
dagger,14,0.0,0.7740178918708673,0.22598210812913266,57010,0,periodic,10000,0,47010,611130,47010,0,10000,57010,9,2.399999630142702e-06,9.317286400000285,0.9777813000000606,306.4438884000001
dagger,15,0.0,0.7740178918708673,0.22598210812913266,57010,0,periodic,10000,0,47010,658140,47010,0,10000,57010,9,1.5999999050109182e-06,9.095548600000257,0.976522599999953,316.5167594999998
