method,iteration,beta,accuracy,imitation_error,dataset_size,seed,query_strategy,query_budget,remaining_queries,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.735705950991832,0.264294049008168,47010,0,uncertainty,10000,10000,0,0,47010,0,0,47010,9,9.132157900000038,0.0,0.030947200000355224,12.449939899999663
structured_bc,1,1.0,0.7592376507195644,0.2407623492804356,47010,0,uncertainty,10000,10000,0,0,47010,0,0,47010,9,8.062096099999962,0.0,0.9824039999998604,21.495335199999772
dagger,2,0.0,0.7666277712952159,0.23337222870478413,47768,0,uncertainty,10000,9242,47010,47010,47010,758,758,47768,9,8.550134399999934,16.588634900000216,0.9880678999998054,47.62314530000003
dagger,3,0.0,0.766044340723454,0.23395565927654605,48482,0,uncertainty,10000,8528,47010,94020,47010,714,1472,48482,9,8.147815000000264,16.688818399999946,0.9840192999999999,73.44804260000001
dagger,4,0.0,0.7722676001555815,0.2277323998444185,49193,0,uncertainty,10000,7817,47010,141030,47010,711,2183,49193,9,8.166949999999815,16.569091700000172,1.0032608000001346,99.18793619999997
dagger,5,0.0,0.7707117852975496,0.22928821470245042,49847,0,uncertainty,10000,7163,47010,188040,47010,654,2837,49847,9,11.561876499999926,16.662178899999617,2.031851299999744,129.44453810000005
dagger,6,0.0,0.7718786464410735,0.2281213535589265,50585,0,uncertainty,10000,6425,47010,235050,47010,738,3575,50585,9,14.73770659999991,31.49257720000014,1.8530934999998863,177.52887770000007
dagger,7,0.0,0.7724620770128354,0.22753792298716458,51317,0,uncertainty,10000,5693,47010,282060,47010,732,4307,51317,9,14.507519199999933,29.848260799999935,1.8262912000000142,223.7121890999997
dagger,8,0.0,0.7720731232983274,0.22792687670167255,51976,0,uncertainty,10000,5034,47010,329070,47010,659,4966,51976,9,14.273403000000144,31.08118949999971,1.871575799999846,270.93926899999997
dagger,9,0.0,0.7744068455853753,0.22559315441462469,52717,0,uncertainty,10000,4293,47010,376080,47010,741,5707,52717,9,15.201489800000218,34.21450610000011,1.8797777999998289,322.2360401000001
dagger,10,0.0,0.7736289381563594,0.22637106184364064,53460,0,uncertainty,10000,3550,47010,423090,47010,743,6450,53460,9,14.49225320000005,31.358901400000377,1.8629857000000811,369.95108630000004
dagger,11,0.0,0.7777129521586931,0.22228704784130693,54246,0,uncertainty,10000,2764,47010,470100,47010,786,7236,54246,9,14.513432100000045,31.17381669999986,1.7789465999999265,417.4180891000001
dagger,12,0.0,0.7728510307273434,0.2271489692726566,55012,0,uncertainty,10000,1998,47010,517110,47010,766,8002,55012,9,15.471938500000306,30.971830299999965,1.8080327000002399,465.6709615
dagger,13,0.0,0.7753792298716453,0.22462077012835469,55874,0,uncertainty,10000,1136,47010,564120,47010,862,8864,55874,9,16.13445610000008,30.778419300000223,1.9773418999998285,514.5621151999999
dagger,14,0.0,0.779268767016725,0.22073123298327502,56692,0,uncertainty,10000,318,47010,611130,47010,818,9682,56692,9,11.46336939999992,28.81367010000031,1.0729323000000477,555.9129251999998
dagger,15,0.0,0.7767405678724232,0.22325943212757682,57010,0,uncertainty,10000,0,47010,658140,47010,318,10000,57010,9,15.359894200000326,17.136409000000185,1.81729949999999,590.2272181999997
