method,iteration,mean_accuracy,sample_sd,seeds
DAgger,1,0.7615713730066123,0.0020210627859613096,3
DAgger,2,0.7836769091144821,0.0009979777206236833,3
DAgger,3,0.7885388305458317,0.0029193129130552532,3
DAgger,4,0.7908725528328796,0.0022456253177347957,3
DAgger,5,0.7915856346428108,0.001323776601624643,3
Structured BC,1,0.7615713730066123,0.0020210627859613096,3
Structured BC,2,0.7615713730066123,0.0020210627859613096,3
Structured BC,3,0.7615713730066123,0.0020210627859613096,3
Structured BC,4,0.7615713730066123,0.0020210627859613096,3
Structured BC,5,0.7615713730066123,0.0020210627859613096,3
No-structure supervised,1,0.734928043562816,0.0022428165294964323,3
No-structure supervised,2,0.734928043562816,0.0022428165294964323,3
No-structure supervised,3,0.734928043562816,0.0022428165294964323,3
No-structure supervised,4,0.734928043562816,0.0022428165294964323,3
No-structure supervised,5,0.734928043562816,0.0022428165294964323,3
